0	0	10	269.617741	269.617741	2775	0.030428
0	1	10	259.813251	259.813251	2816	0.022685
0	2	10	241.311874	241.311874	2787	0.020799
1	0	10	256.660251	256.660251	2879	0.023152
1	1	10	241.869054	241.869054	2813	0.020547
1	2	10	256.240372	256.240372	2499	0.018856
2	0	10	222.264006	195.130330	2531	0.018844
2	1	10	232.487618	232.487618	2711	0.020722
2	2	10	219.519278	219.519278	2831	0.021486
3	0	10	129.372430	129.372430	2560	0.017892
3	1	10	153.703062	153.703062	2499	0.020330
3	2	10	141.406739	141.406739	2499	0.019066
4	0	10	223.528176	223.528176	2673	0.019215
4	1	10	235.086441	229.732485	2640	0.022117
4	2	10	184.281170	184.281170	2714	0.020111
5	0	10	354.433850	354.433850	2685	0.020754
5	1	10	304.487219	304.487219	2690	0.019842
5	2	10	323.529027	323.529027	2788	0.020686
6	0	10	286.107217	286.107217	2873	0.023888
6	1	10	300.806907	300.806907	2499	0.018633
6	2	10	235.824847	235.824847	2499	0.018692
7	0	10	152.377073	152.377073	2499	0.019091
7	1	10	140.820788	140.820788	2776	0.020645
7	2	10	152.377073	152.377073	2499	0.018628
8	0	10	253.444434	247.857988	2773	0.019950
8	1	10	226.749136	226.749136	2738	0.022559
8	2	10	255.339819	255.339819	2678	0.027839
9	0	10	225.323826	224.431986	2848	0.028703
9	1	10	228.980621	228.980621	2805	0.030863
9	2	10	190.294034	190.294034	2664	0.021551
10	0	10	222.839848	222.839848	2763	0.022884
10	1	10	209.213695	209.213695	2530	0.020473
10	2	10	239.061592	232.393638	2630	0.019389
11	0	10	246.403450	246.403450	2692	0.020011
11	1	10	244.822186	238.733284	2553	0.019818
11	2	10	246.882758	246.882758	2740	0.020515
12	0	10	208.626511	208.626511	2499	0.021317
12	1	10	197.502176	197.502176	2499	0.018630
12	2	10	197.502176	197.502176	2499	0.018933
13	0	10	169.067057	169.067057	2499	0.018470
13	1	10	184.674212	184.674212	2499	0.018789
13	2	10	195.187465	195.187465	2499	0.018740
14	0	10	255.564117	255.564117	2572	0.019944
14	1	10	259.046667	259.046667	2653	0.019722
14	2	10	286.473888	286.473888	2677	0.020688
15	0	10	107.391523	107.391523	2499	0.018295
15	1	10	153.491981	153.491981	2499	0.020761
15	2	10	107.391523	107.391523	2499	0.018923
16	0	10	251.797582	250.860471	2639	0.021959
16	1	10	247.157136	247.157136	2708	0.020793
16	2	10	261.990897	261.990897	2627	0.019243
17	0	10	251.733429	249.863296	2689	0.021418
17	1	10	228.556841	228.556841	2745	0.020138
17	2	10	260.598353	257.396731	2760	0.020123
18	0	10	160.517433	160.517433	2730	0.020865
18	1	10	171.638567	171.638567	2656	0.021271
18	2	10	169.111197	163.312873	2610	0.019874
19	0	10	149.423445	149.423445	2783	0.020797
19	1	10	149.423445	149.423445	2709	0.020369
19	2	10	146.412934	146.412934	2869	0.021401
20	0	10	273.827024	259.247649	2623	0.020019
20	1	10	259.247649	259.247649	2722	0.020934
20	2	10	243.513554	243.513554	2928	0.023341
21	0	10	254.559917	254.559917	2664	0.020794
21	1	10	256.516377	256.516377	2547	0.018637
21	2	10	213.073044	213.073044	2715	0.022715
22	0	10	269.413005	269.413005	2529	0.018574
22	1	10	215.936407	215.936407	2791	0.020933
22	2	10	230.769253	230.769253	2596	0.019975
23	0	10	204.647256	204.647256	2499	0.018152
23	1	10	204.154481	204.154481	2538	0.019179
23	2	10	204.154481	204.154481	2549	0.019585
24	0	10	203.078536	203.078536	2499	0.018333
24	1	10	205.015672	205.015672	2499	0.021478
24	2	10	189.385416	189.385416	2757	0.021224
